text,created_at,retweet_count,is_retweet
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/4Wx0XDkiAK,04-20-2020 23:28:45,6533,TRUE
I will be having a White House Press Conference today at 5:30 P.M. Thank you!,04-20-2020 20:19:36,18377,FALSE
Last month all you heard from the Radical Left Do Nothing Democrats was “Ventilators Ventilators Ventilators.” They screamed it loud &amp; clear &amp; thought they had us cold even though it was the State’s task. But everyone got their V’s with many to spare. Now they scream....,04-20-2020 15:37:22,29096,FALSE
... “Testing Testing Testing” again playing a very dangerous political game. States not the Federal Government should be doing the Testing - But we will work with the Governors and get it done. This is easy compared to the fast production of thousands of complex Ventilators!,04-20-2020 15:37:22,21174,FALSE
Received a very nice call from @GovTimWalz of Minnesota. We are working closely on getting him all he needs and fast. Good things happening!,04-20-2020 14:32:12,18332,FALSE
RT @Scavino45: https://t.co/f25sMVpQaV,04-20-2020 14:02:03,9508,TRUE
RT @DanScavino: “Every person who leaves the hospital is a win and celebrated by our staff. We play ‘Here Comes the Sun’ over the loudspeak…,04-20-2020 14:01:55,10184,TRUE
RT @realDonaldTrump: https://t.co/cU6gIdMgGi,04-20-2020 14:00:09,84391,TRUE
Congratulations to all of my many friends at The Villages in Florida on having done so well and with such great spirit during these rather unusual times. So proud of everyone! Mark Morse &amp; Gary Lester have really stepped up to the plate. Hope to see everyone soon.,04-20-2020 13:58:46,15521,FALSE
https://t.co/cU6gIdMgGi,04-20-2020 11:57:40,104350,FALSE
BRILLIANT A MUST WATCH! @RepDanCrenshaw https://t.co/W6pGsJQ2ua,04-20-2020 01:30:12,79105,FALSE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/RtYrCYTQyI,04-19-2020 22:25:08,8727,TRUE
White House News Conference at 5:45. Thank you!,04-19-2020 20:13:28,17398,FALSE
Thank you to my boy! https://t.co/GAFe1AdZpt,04-19-2020 19:38:09,47980,FALSE
“On February 19th there was a Democratic Debate in Las Vegas. Three words weren’t said: Virus CoronaVirus or COVID19. NEVER came up!” @BretBaier,04-19-2020 19:18:05,31977,FALSE
Great book by @SenatorTimScott! https://t.co/9o31w3DhJr,04-19-2020 19:15:28,8994,FALSE
.@FoxNews “Dems say President Trump is trying to open the United States Economy too quickly” but if I took even a little more time they would loudly chant that I am moving too slowly. Just political talking points for them. For me it’s about lives &amp;  the future of our Country!,04-19-2020 19:14:26,37635,FALSE
RT @ArthurSchwartz: Acting DNI @RichardGrenell is Succeeding Angering Traitors @AmbassadorRice &amp; @RepAdamSchiff https://t.co/RruUq4EQgt #N…,04-19-2020 18:14:10,9956,TRUE
RT @CarlHigbie: I have known #LauraLoomer for years and said from day one that if she runs she will win...  @TheDemocrats are about to get…,04-19-2020 18:13:31,13438,TRUE
RT @CarlHigbie: Hey-yo 2020!!!😂 https://t.co/2v7XMbuNdE,04-19-2020 18:13:02,9687,TRUE
RT @CarlHigbie: Love @realDonaldTrump keep up the fight for America 🇺🇸!!!,04-19-2020 18:12:40,6241,TRUE
RT @RepLeeZeldin: While @realDonaldTrump believes the enemy is coronavirus @SpeakerPelosi believes the enemy is Pres Trump. In order to de…,04-19-2020 18:11:27,8084,TRUE
RT @RepLeeZeldin: Factoring in local conditions &amp; partnering w/states we must reopen our economy smartly &amp; precisely &amp; prevent a 2nd outbr…,04-19-2020 18:09:44,5492,TRUE
RT @kimguilfoyle: “In responding to the outbreak of coronavirus across the country every level of government has worked together. Reopenin…,04-19-2020 18:08:54,5722,TRUE
RT @AF_Academy: Today was HUGE! Congrats to the Class of 2020! More photos from today's event can be found here: https://t.co/5W7eunsMG3 #U…,04-19-2020 18:05:46,5450,TRUE
RT @RepLeeZeldin: Small businesses desperately need the Paycheck Protection Program (PPP) and Emergency Injury Disaster Loan (EIDL) to be f…,04-19-2020 18:05:35,7512,TRUE
RT @RichardGrenell: Germany looks for the right balance to return to a new normal. https://t.co/HtiKNvwP0g,04-19-2020 18:05:01,3814,TRUE
RT @DonaldJTrumpJr: Germany’s largest newspaper comes out swinging against China. This is a must watch for US journalists who seem intent o…,04-19-2020 17:34:39,23859,TRUE
RT @ArthurSchwartz: She calls it “the flu” and says that calling it the China Virus is racist towards Asian Americans. Just as Xi Jinping o…,04-19-2020 17:33:49,13275,TRUE
RT @ArthurSchwartz: The People’s Republic of Los Angeles. @ericgarcetti is out of control like the rest of the democrats.,04-19-2020 17:32:53,7864,TRUE
Nervous Nancy is an inherently “dumb” person. She wasted all of her time on the Impeachment Hoax. She will be overthrown either by inside or out just like her last time as “Speaker”. Wallace &amp; @FoxNews are on a bad path watch! https://t.co/nkEj5YeRjb,04-19-2020 16:58:51,25887,FALSE
Just like I was right on Ventilators (our Country is now the “King of Ventilators” other countries are calling asking for help-we will!) I am right on testing. Governors must be able to step up and get the job done. We will be with you ALL THE WAY!,04-19-2020 16:36:26,33217,FALSE
RT @kaitlancollins: Vice President Pence tells Chris Wallace the U.S. is conducting about 150000 tests per day and four million tests have…,04-19-2020 13:59:05,8762,TRUE
RT @PressSec: President @realDonaldTrump has DELIVERED ⬇️✅ 523 MILLION gloves✅ 69 MILLION surgical masks✅ 55 MILLION N95 respirators✅…,04-19-2020 13:57:37,17704,TRUE
RT @ErinMPerrine: EVERGREEN —&gt; Any reporter or outlet using half of a quote and refusing to use appropriate context is doing so maliciously.,04-19-2020 13:56:55,9604,TRUE
RT @JudgeJeanine: .@PressSec joins me to discuss everything President Trump is doing to keep us on the right track in order to reopen Ameri…,04-19-2020 13:56:27,8465,TRUE
Great credit must be given to @FEMA and all of those that are helping our States make it big! https://t.co/MwWfmZjQIN,04-19-2020 13:47:19,14646,FALSE
RT @realDonaldTrump: I gave up on Drudge (a really nice guy) long ago as have many others. People are dropping off like flies!,04-19-2020 13:45:01,16119,TRUE
RT @realDonaldTrump: Great new book out by @realKTMcFarland “Revolution: Trump Washington and We the People”. Get your copy today! https…,04-19-2020 13:44:23,13318,TRUE
Look forward to this! https://t.co/0JkHERaE8M,04-19-2020 13:44:09,9151,FALSE
RT @realDonaldTrump: China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. b…,04-19-2020 13:42:57,34112,TRUE
CONGRATULATIONS @AF_Academy! https://t.co/27HxXLNbd8,04-19-2020 03:23:36,14629,FALSE
RT @realDonaldTrump: Thank you @Honeywell great job!,04-19-2020 02:46:48,14712,TRUE
RT @realDonaldTrump: Great news thank you!,04-19-2020 02:46:31,16147,TRUE
RT @realDonaldTrump: Our GREAT Senator from South Carolina @SenatorTimScott just released a fantastic new book “OPPORTUNITY KNOCKS: How H…,04-19-2020 00:35:16,14137,TRUE
Great new book out by @realKTMcFarland “Revolution: Trump Washington and We the People”. Get your copy today! https://t.co/KBkladnmPQ,04-19-2020 00:34:57,13318,FALSE
Will be online tomorrow morning at 10:30am (Eastern) watching @jackngraham from @Prestonwood Baptist in Dallas Texas. You can join us at https://t.co/Nx4ePPySmn. https://t.co/mheZBjYHrx,04-18-2020 23:41:26,11333,FALSE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/nurNOvlZjJ,04-18-2020 21:09:33,8529,TRUE
China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. back and much more. Joe is an easy mark their DREAM CANDIDATE! https://t.co/vmvCr4SkQq,04-18-2020 19:13:28,34112,FALSE
RT @BryanDeanWright: Biden has a problem if he runs on “Things Were Better Under Obama.”,04-18-2020 19:07:47,6704,TRUE
